20240114	22:46:15	cf90f298-faf2-4555-88f7-dad4c862a86a	/newPage	GET
20240114	22:46:15	48d01bc2-171c-4c8d-b9e3-6876fa2cca05	/img/mountain.jpeg	GET
20240123	10:24:29	f6ccd306-8857-485b-80c2-bee8caf0f627	GET	undefined	/
20240123	10:24:29	816668e0-b261-4b38-9236-c04155222140	GET	undefined	/
20240123	10:24:54	5e825c74-bbf2-45be-8511-816795177363	GET	undefined	/
20240123	10:25:09	883fc161-1016-4664-9dcf-0f3ec3fd8efd	GET	undefined	/
20240123	10:25:52	183ce883-0249-4920-acfe-501810ecbcfa	GET	undefined	/
20240123	10:35:46	90c5f3e4-da77-4064-a539-70097fb47300	GET	null	/
20240123	10:36:38	0f11220d-2650-4892-bdf3-78729ad12073	GET	null	/
20240123	19:30:06	947e6022-3084-4e32-a1ac-31eee0157302	GET	undefined	/
20240123	19:30:08	572c9f78-d492-4b7c-ac1e-1315ba69f754	GET	undefined	/css/sttyled.css
20240123	19:30:08	1971bda9-dc56-47d8-a841-191ba14483fe	GET	undefined	/favicon.ico
20240123	19:30:47	2f165aca-1379-4050-a409-3c0b55c9dbc0	OPTIONS	https://www.google.com	/
20240123	19:30:48	f2ab5fff-389c-4133-a2be-b01e5bdccde7	GET	https://www.google.com	/
20240123	19:34:07	a00cacce-eb34-45c1-b295-fa86ff50bb0a	GET	https://www.youtube.com	/
20240123	19:54:23	0f9c6715-4fef-4569-9ffb-5f110b971317	GET	undefined	/index
20240123	19:54:23	94f3bb4d-8ad6-4f2a-ab5d-8c1025fe3856	GET	undefined	/css/sttyled.css
20240123	19:54:28	4e0c3d98-3537-476b-8c95-bb026964f894	GET	undefined	/indexasd
20240123	19:54:28	4ab6ffde-e812-4413-931b-d9a91330581e	GET	undefined	/css/sttyled.css
20240125	18:16:40	8760f979-2f59-4beb-b54d-ddc95192f830	GET	undefined	/indexasd
20240125	18:16:44	ef07e30f-e1e0-40de-be15-e9ad3b9af924	GET	undefined	/css/sttyled.css
20240125	18:25:53	8443a3a4-12c9-4f9e-ab3a-aae4a1886d9e	OPTIONS	https://www.google.com	/
20240125	18:25:53	6ba4e4f0-ead0-4248-bf27-d72245c7098d	GET	https://www.google.com	/
20240125	18:32:34	3b77cffd-7e50-4fda-a0a0-c18c52812030	OPTIONS	https://www.google.com	/
20240125	18:32:34	f329077f-fec9-45ec-8851-4484d5a839b2	GET	https://www.google.com	/
20240125	18:33:22	4ed89502-8283-4c67-8665-95b5adeefc65	OPTIONS	https://www.google.com	/
20240125	18:33:22	36c3ef96-0e2e-4fa8-934d-5bdb53d03262	GET	https://www.google.com	/
20240125	18:33:31	5c400244-09d7-4144-b8e0-d22d15608a1b	GET	undefined	/indexasd
20240125	18:37:35	955bf706-14a3-4798-9ec7-abaa9f2c4f72	GET	undefined	/indexasd
20240125	18:38:02	20ccc5f9-329e-4ba4-9551-713ba93b4bca	GET	undefined	/indexasd
20240125	18:38:44	29766e0a-752e-46ee-b427-06f5bbb639f7	GET	undefined	/indexasd
20240125	18:38:57	02fbf72a-2d9a-4ddf-ac74-19d71abd1645	GET	undefined	/indexasd
20240125	18:38:57	7691ebb2-44d4-4507-9a76-bf727176c93d	GET	undefined	/css/sttyled.css
20240127	01:50:51	3d67c735-829e-4caf-b8aa-08a6b9b7a672	GET	undefined	/indexasd
20240127	01:50:52	0e88cf5a-7a33-42e4-944a-36e863299177	GET	undefined	/css/sttyled.css
20240127	02:02:37	7c3b8070-e36b-43de-ab0f-a6b03cb4ff3b	GET	undefined	/indexasd
20240127	02:05:36	6dffc804-9bc8-43d3-9fbe-e40b1df7382b	GET	undefined	/
20240127	02:05:37	06f12008-2f6d-40be-917f-b26502582ef0	GET	undefined	/
20240128	19:30:52	359694cb-5b7c-4762-b581-faff6a64eaee	GET	undefined	/
20240128	19:30:52	86b0f0a7-8625-4327-a883-99b9a3512467	GET	undefined	/css/sttyled.css
20240128	19:31:52	687d464d-0f13-47d2-9318-014c7aaf761c	GET	undefined	/favicon.ico
